feature	without_phage	t40_Rif	t90_Rif	t140_Rif	t190_Rif	t40	t90	t140	t190	time_class
g085	0.0451266870764492	0.0393952718365816	3.7251861294485	59.5875954139485	282.089109273679	0.0256642911501072	169.867566897085	4949.96537261402	10171.126540493	late
g083	0.0677546820288234	0.0591493479724033	1.81398361201674	35.2600519961721	163.262351178833	0.0385332050505908	57.8868279957767	2391.39641731582	5354.16029245908	late
g069	0.0561671829645116	0.04903354499375	22.8695865416422	181.075864373594	643.557764138002	0.127772812946852	1144.63569456072	6662.45360180726	6958.81550367006	middle
g097	0.307095896468303	0.268092499251542	131.891725123717	789.177733674125	2215.59698757589	1.0479030048823	8094.64665574495	34883.0374518448	30982.2718724859	middle
g047	0.118231920140297	12719.7759709266	13654.6184103333	10161.6647122029	7445.31873363926	4475.59111409479	9366.29467793676	3594.18960244648	863.284049825443	early
g106	0.274957953814644	4.80072614938808	333.716737057219	1928.9811505795	5021.60277165887	2.18922371950217	11762.7754954871	18752.1039281227	11993.5577419746	middle
g026	0.137478976907322	17878.7443073973	15113.1047119962	9885.73517907445	8599.7155437021	12735.4962419582	12235.2085293313	3224.64025792381	1112.96280507429	early
g065	0.0332579240900976	0.391958021057634	41.9604897650982	337.610036385361	991.194895783772	0.122943144384339	831.596207130876	4815.31661340433	5045.83180088718	middle
g067	0.0263029855707001	0.0803681073952064	17.61979553655	141.096432490202	500.480951024402	0.0598357666859007	561.222869114806	3903.86191929191	4186.61248197465	middle
g048	0.176465552448204	35395.5604373397	42838.4323201833	32025.1476048056	25815.4140196957	12764.6446588376	30125.896441565	11931.169838879	3652.16862667991	early
g098	0.18619200022094	0.325088542399508	115.690851801434	745.514714104513	2098.29568943224	0.847123688986217	6805.913878819	24176.037628324	18663.017843122	middle
g079	0.207424421298766	0.181080021424287	3.00805688878653	61.3459326648002	315.29031220512	0.117965689146107	59.5711949169846	3237.11930182234	8532.03325497741	late
